"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"4","1","2019-01-21","27-034","MEM","","NOP","L (-20)","0","1:29","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3"
"9","2","2019-01-30","27-043","MEM","@","MIN","L (-2)","0","3:27","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","+6"
"10","3","2019-02-01","27-045","MEM","@","CHO","L (-8)","0","16:19","0","2",".000","0","0","","0","0","","1","3","4","0","0","0","0","2","0","-0.6","-6"
"11","4","2019-02-03","27-047","MEM","@","NYK","W (+12)","0","19:53","0","1",".000","0","0","","1","2",".500","0","5","5","1","1","0","0","1","1","2.7","+5"
"12","5","2019-02-05","27-049","MEM","","MIN","W (+2)","1","31:19","3","10",".300","1","5",".200","0","0","","2","2","4","2","1","0","0","0","7","5.6","+19"
"13","6","2019-02-07","27-051","MEM","@","OKC","L (-22)","1","37:12","0","5",".000","0","2",".000","2","2","1.000","1","5","6","0","2","0","3","2","2","-1.1","-10"
"19","7","2019-02-25","27-069","MEM","","LAL","W (+5)","0","0:05","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0"
"29","8","2019-03-22","27-094","MEM","@","ORL","L (-4)","0","11:30","0","1",".000","0","1",".000","0","0","","0","2","2","0","1","0","0","0","0","0.9","-6"
"30","9","2019-03-23","27-095","MEM","","MIN","L (-13)","0","5:38","1","1","1.000","1","1","1.000","0","0","","1","0","1","0","0","0","1","0","3","2.4","-6"
"31","10","2019-03-25","27-097","MEM","","OKC","W (+12)","0","7:27","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.8","-16"
"32","11","2019-03-27","27-099","MEM","","GSW","L (-15)","0","7:20","0","4",".000","0","2",".000","0","0","","2","2","4","1","0","0","0","1","0","-0.5","+3"
"33","12","2019-03-30","27-102","MEM","@","PHO","W (+5)","0","7:45","0","0","","0","0","","0","0","","0","0","0","2","1","0","0","1","0","2.0","-9"
"34","13","2019-03-31","27-103","MEM","@","LAC","L (-17)","0","17:12","3","6",".500","0","3",".000","0","0","","0","2","2","2","2","1","0","3","6","6.5","-1"
"35","14","2019-04-03","27-106","MEM","@","POR","L (-27)","1","24:52","2","3",".667","1","1","1.000","0","0","","0","1","1","4","1","1","1","0","5","7.5","-8"
"36","15","2019-04-05","27-108","MEM","@","DAL","W (+10)","0","16:45","2","4",".500","1","3",".333","0","0","","0","3","3","2","1","0","1","1","5","4.9","+10"
"37","16","2019-04-07","27-110","MEM","","DAL","L (-2)","0","10:06","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-7"
"38","17","2019-04-09","27-112","MEM","@","DET","L (-7)","0","12:16","1","1","1.000","1","1","1.000","0","0","","0","2","2","0","0","0","0","1","3","2.9","+17"
"39","18","2019-04-10","27-113","MEM","","GSW","W (+15)","0","23:17","4","7",".571","0","2",".000","0","0","","1","5","6","0","3","0","1","2","8","8.1","-10"
