"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","20-165","HOU","","NOP","L (-19)","0","1:35","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+2"
"3","2","2018-10-21","20-169","HOU","@","LAC","L (-3)","0","9:23","3","3","1.000","0","0","","0","0","","0","1","1","0","1","1","2","3","6","3.9","-7"
"4","3","2018-10-24","20-172","HOU","","UTA","L (-11)","0","2:33","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","+4"
"5","4","2018-10-26","20-174","HOU","","LAC","L (-20)","0","13:19","1","4",".250","0","2",".000","4","4","1.000","1","0","1","3","0","1","0","4","6","5.5","+3"
"6","5","2018-10-30","20-178","HOU","","POR","L (-19)","0","6:59","0","1",".000","0","0","","0","0","","1","0","1","1","0","0","0","3","0","-0.5","0"
"7","6","2018-11-02","20-181","HOU","@","BRK","W (+8)","0","7:39","0","2",".000","0","0","","0","0","","0","1","1","0","0","2","1","0","0","-0.7","+1"
"8","7","2018-11-03","20-182","HOU","@","CHI","W (+8)","0","12:47","1","1","1.000","0","0","","0","0","","1","1","2","1","0","1","1","3","2","1.9","+7"
"9","8","2018-11-05","20-184","HOU","@","IND","W (+4)","0","7:44","2","3",".667","0","0","","0","0","","0","1","1","0","0","1","1","2","4","1.9","-7"
"10","9","2018-11-08","20-187","HOU","@","OKC","L (-18)","0","6:07","0","1",".000","0","0","","0","0","","1","2","3","0","0","0","1","2","0","-1.2","-1"
"11","10","2018-11-10","20-189","HOU","@","SAS","L (-7)","0","9:51","1","3",".333","0","0","","1","2",".500","6","1","7","1","1","0","1","1","3","5.7","+13"
"12","11","2018-11-11","20-190","HOU","","IND","W (+12)","0","12:40","2","4",".500","0","0","","0","0","","0","1","1","0","0","1","0","2","4","2.2","+16"
"13","12","2018-11-13","20-192","HOU","@","DEN","W (+10)","0","11:36","1","1","1.000","0","0","","1","2",".500","1","0","1","0","0","0","2","3","3","-0.2","-3"
"14","13","2018-11-15","20-194","HOU","","GSW","W (+21)","0","14:39","2","4",".500","1","1","1.000","1","1","1.000","2","3","5","1","0","0","0","1","6","6.6","+27"
"15","14","2018-11-17","20-196","HOU","","SAC","W (+20)","0","9:46","0","0","","0","0","","1","2",".500","0","2","2","2","1","0","1","1","1","2.2","-2"
"16","15","2018-11-21","20-200","HOU","","DET","W (+2)","0","11:02","1","2",".500","0","0","","1","1","1.000","0","2","2","0","1","1","1","5","3","1.3","-2"
"17","16","2018-11-23","20-202","HOU","@","DET","L (-5)","0","6:57","1","2",".500","0","1",".000","0","0","","0","1","1","0","0","1","0","3","2","0.8","+3"
"18","17","2018-11-24","20-203","HOU","@","CLE","L (-9)","0","2:51","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-2"
"19","18","2018-11-26","20-205","HOU","@","WAS","L (-4)","0","6:31","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","2","0","-0.8","+6"
"20","19","2018-11-28","20-207","HOU","","DAL","L (-20)","0","11:29","1","2",".500","1","1","1.000","2","2","1.000","2","1","3","0","0","0","1","4","5","3.1","-6"
"21","20","2018-11-30","20-209","HOU","@","SAS","W (+31)","0","3:07","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3"
"22","21","2018-12-01","20-210","HOU","","CHI","W (+16)","0","2:56","0","0","","0","0","","0","0","","1","0","1","1","0","0","0","0","0","1.4","-4"
"30","22","2018-12-19","20-228","HOU","","WAS","W (+18)","0","6:03","1","1","1.000","0","0","","0","0","","1","1","2","1","0","0","0","4","2","1.8","-2"
"43","23","2019-01-14","20-254","HOU","","MEM","W (+18)","0","6:56","0","2",".000","0","1",".000","0","0","","2","2","4","1","0","0","0","1","0","0.9","-8"
"51","24","2019-02-01","20-272","HOU","@","DEN","L (-14)","0","8:05","2","4",".500","0","0","","0","0","","2","1","3","0","1","1","0","2","4","4.6","+3"
"52","25","2019-02-02","20-273","HOU","@","UTA","W (+27)","0","7:57","0","0","","0","0","","0","0","","0","1","1","1","1","0","1","3","0","-0.2","+3"
"54","26","2019-02-06","20-277","HOU","@","SAC","W (+26)","0","6:46","0","0","","0","0","","0","0","","0","2","2","0","0","0","0","2","0","-0.2","+2"
"56","27","2019-02-11","20-282","HOU","","DAL","W (+16)","0","12:47","1","1","1.000","0","0","","0","0","","0","2","2","1","1","2","0","3","2","4.2","-5"
"75","28","2019-03-26","20-325","HOU","@","MIL","L (-14)","0","1:10","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","+1"
